,level,speaker,gender,member_state,EP,party_group,text,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,prevalenc_of_topics
69,EU,Ádám Kósa,0,Hungary,1.0,Non-attached Members,"['transformation', 'affect', 'field', 'education', 'face', 'significant', 'change', 'date', 'introduction', 'compulsory', 'education', 'estimate', 'percent', 'today', 'schoolchildren', 'end', 'work', 'new', 'job', 'exist', 'digital', 'literacy', 'vital', 'coronavirus', 'epidemic', 'teacher', 'student', 'acquire', 'new', 'skill', 'education', 'easy', 'many', 'time', 'confident', 'child', 'able', 'use', 'knowledge', 'future', 'even', 'work', 'thus', 'call', 'covid', 'generation', 'loser', 'winner', 'long', 'run', 'believe', 'prove', 'life', 'challenge', 'encourage', 'creative', 'solution', 'thus', 'ultimately', 'benefit']",69,3,0.2049,"digital, european, support, important, work, economy, innovation, area, strengthen, investment","[(0, 0.19719471947194722), (1, 0.0838833883388339), (2, 0.1091859185918592), (3, 0.19719471947194722), (4, 0.1278877887788779), (5, 0.07178217821782179), (6, 0.1058855885588559), (7, 0.106985698569857)]"
70,EU,Antonius Manders,0,Netherlands,1.0,European People's Party,"['mander', 'deirdre', 'great', 'result', 'extremely', 'important', 'future', 'european', 'bring', 'countless', 'opportunity', 'example', 'give', 'age', 'society', 'emotion', 'identity', 'feel', 'european', 'help', 'european', 'union', 'opportunity', 'set', 'standard', 'worldwide', 'thereby', 'protect', 'european', 'industry', 'implement', 'standard', 'value', 'set', 'bar', 'high', 'enough', 'therefore', 'important', 'future', 'even', 'well', 'package', 'regulation', 'achieve', 'fully', 'harmonized', 'member_state', 'deviate', 'order', 'undermine', 'leverage', 'internal_market', 'important', 'weapon', 'use', 'fall', 'problem', 'often', 'use', 'member_state', 'ensure', 'start_up', 'small', 'medium_size', 'enterprise', 'easy', 'access', 'finance', 'fully', 'exploit', 'opportunity', 'offer', 'addition', 'ensure', 'keep', 'datum', 'become', 'dependent', 'important', 'step', 'future', 'hope', 'child', 'grandchildren', 'take_advantage']",70,2,0.2423,"datum, ensure, technology, development, regulation, future, opportunity, consumer, create, approach","[(0, 0.09869015356820235), (1, 0.1429539295392954), (2, 0.24322493224932248), (3, 0.1465672990063234), (4, 0.1501806684733514), (5, 0.05984643179765131), (6, 0.08152664859981933), (7, 0.07700993676603432)]"
71,EU,Markéta Gregorová,1,Czechia,1.0,The Greens/European Free Alliance,"['trail', 'cut', 'edge', 'development', 'semiconductor', 'production', 'investment', 'trail', 'application', 'useful', 'product', 'friend', 'well', 'systemic', 'rival', 'global', 'company', 'develop', 'employ', 'modern', 'european', 'common', 'task', 'generation', 'duty', 'change', 'bring', 'member_state', 'forefront', 'important', 'technological', 'race', 'time', 'achieve', 'task', 'guard', 'protect', 'fundamental_right', 'freedom', 'citizen', 'group', 'make', 'amendment', 'effect', 'hope', 'support']",71,3,0.1646,"digital, european, support, important, work, economy, innovation, area, strengthen, investment","[(0, 0.07712765957446809), (1, 0.13268321513002365), (2, 0.13150118203309694), (3, 0.16932624113475178), (4, 0.11495271867612293), (5, 0.08540189125295508), (6, 0.13977541371158392), (7, 0.14923167848699764)]"
72,EU,Joanna Kopcińska,1,Poland,1.0,European Conservatives and Reformists Group,"['chairman', 'witness', 'global', 'competition', 'leadership', 'digital', 'technology', 'therefore', 'necessary', 'take', 'coordinated', 'horizontal', 'action', 'dynamize', 'safe', 'development', 'trustworthy', 'human', 'friendly', 'due', 'economic', 'scale', 'challenge', 'necessity', 'compete', 'economy', 'extremely', 'important', 'properly', 'arrange', 'regulatory', 'investment', 'framework', 'national', 'institution', 'enterprise', 'profitably', 'work', 'entire', 'european', 'national', 'economy', 'agree', 'strengthen', 'position', 'ecosystem', 'value', 'chain', 'range', 'certain', 'sector', 'hardware', 'production', 'software', 'service', 'reason', 'future', 'regulation', 'area', 'build', 'clear', 'easy', 'apply', 'framework', 'key', 'task', 'provide', 'regulation', 'inspire', 'trust', 'citizen', 'encourage', 'take_advantage', 'benefit', 'offer']",72,3,0.1919,"digital, european, support, important, work, economy, innovation, area, strengthen, investment","[(0, 0.09097222222222222), (1, 0.10486111111111111), (2, 0.1909722222222222), (3, 0.1900462962962963), (4, 0.15208333333333332), (5, 0.052083333333333336), (6, 0.10208333333333333), (7, 0.11689814814814815)]"
73,EU,Salvatore De Meo,0,Italy,1.0,European People's Party,"['gentleman', 'excellent', 'work', 'do', 'able', 'combine', 'ambitious', 'challenge', 'future', 'become', 'present', 'right', 'consumer', 'need', 'small', 'medium_size', 'enterprise', 'technological', 'innovation', 'change', 'life', 'future', 'hold', 'still', 'innovation', 'certainly', 'constitute', 'new', 'frontier', 'technological', 'progress', 'regularize', 'use', 'appropriately', 'guarantee', 'development', 'area', 'economy', 'include', 'agriculture', 'lot', 'interest', 'part', 'young', 'people', 'difficult', 'area', 'thank', 'possible', 'produce', 'well', 'easily', 'indeed', 'paper', 'agriculture', 'new', 'common', 'agricultural', 'policy', 'essential', 'component', 'future', 'sector', 'new', 'technology', 'develop', 'fundamental', 'achieving', 'objective', 'producer', 'consumer', 'biodiversity', 'strategy', 'interest', 'producer', 'consumer', 'promote', 'well', 'production', 'quality', 'optimize', 'natural', 'resource', 'guarantee', 'animal', 'welfare', 'reduce', 'pesticide', 'fertilizer', 'improve', 'traceability', 'product', 'always', 'found', 'element', 'union', 'way', 'able', 'strengthen', 'integration', 'process', 'determine', 'favorable', 'condition', 'development', 'economy']",73,2,0.2979,"datum, ensure, technology, development, regulation, future, opportunity, consumer, create, approach","[(0, 0.12266828872668288), (1, 0.10644768856447688), (2, 0.2962287104622871), (3, 0.12672343876723438), (4, 0.11293592862935929), (5, 0.07157339821573398), (6, 0.08536090835360909), (7, 0.07806163828061638)]"
74,EU,Claudia Gamon,1,Austria,1.0,Renew Europe Group,"['finally', 'start', 'put', 'new', 'rule', 'digital', 'world', 'track', 'really', 'time', 'lose', 'technology', 'evolve', 'really', 'rapid', 'pace', 'recent', 'year', 'digital', 'service', 'marketplace', 'work', 'european', 'rule', 'date', 'back', 'think', 'back', 'bit', 'back', 'hot', 'shit', 'uboot', 'com', 'old', 'millennial', 'know', 'myspace', 'even', 'exist', 'back', 'need', 'regulation', 'enable', 'innovation', 'answer', 'issue', 'hate', 'internet', 'geo_blocke', 'supremacy', 'amazon', 'facebook', 'co', 'example', 'still', 'lack', 'guideline', 'regulation', 'finally', 'happen', 'thing', 'clear', 'future', 'wait']",74,1,0.1912,"trade, work, set, make, parliament, issue, important, global, standard, cooperation","[(0, 0.11785329018338728), (1, 0.19444444444444445), (2, 0.11138079827400216), (3, 0.1081445523193096), (4, 0.15668824163969794), (5, 0.0779395900755124), (6, 0.07578209277238404), (7, 0.15776699029126215)]"
75,EU,Ylva Johansson,1,Sweden,1.0,European Commissioner for Home Affairs,"['special', 'thank', 'petar', 'vitanov', 'hear', 'know', 'concerned', 'fundamental_right', 'summer', 'gangster', 'shoot', 'kill', 'dutch', 'journalist', 'cold', 'blood', 'attack', 'human', 'attack', 'society', 'value', 'fundamental_right', 'right', 'life', 'freedom', 'expression', 'freedom', 'medium', 'police', 'catch', 'suspect', 'hour', 'fragment', 'getaway', 'car', 'registration', 'number', 'use', 'state', 'art', 'camera', 'system', 'police', 'force', 'car', 'standstill', 'smart', 'digital', 'technology', 'use', 'defence', 'citizen', 'fundamental_right', 'technology', 'criminal', 'quite', 'simply', 'get', 'protect', 'people', 'right', 'digital', 'technology', 'long', 'nice', 'need', 'first', 'massive', 'amount', 'datum', 'german', 'state', 'last', 'police', 'seize', 'terabyte', 'data', 'child', 'sexual', 'abuse', 'investigation', 'alone', 'estimate', 'take', 'police', 'officer', 'year', 'review', 'assume', 'officer', 'work', 'hour', 'day', 'look', 'picture', 'second', 'computer', 'process', 'image', 'time', 'fast', 'least', 'hour', 'day', 'never', 'get', 'tired', 'make', 'few', 'mistake', 'get', 'sick', 'see', 'need', 'therapy', 'time', 'essence', 'case', 'sky', 'police', 'capture', 'hundred', 'million', 'message', 'criminal', 'plot', 'drug', 'deal', 'violent', 'crime', 'even', 'murder', 'delay', 'cost', 'life', 'second', 'criminal', 'increasingly', 'use', 'commit', 'deception', 'fraud', 'cyber', 'attack', 'ransomware', 'attack', 'ask', 'police', 'bring', 'knife', 'gunfight', 'equip', 'police', 'modern', 'tool', 'fight', 'modern', 'crime', 'third', 'need', 'date', 'information', 'exchange', 'fight', 'cross', 'border', 'crime', 'address', 'upcoming', 'proposal', 'police', 'cooperation', 'code', 'update', 'prum', 'framework', 'know', 'concerned', 'right', 'privacy', 'datum', 'protection', 'stress', 'protect', 'security', 'respect', 'fundamental_right', 'time', 'essential', 'trust', 'citizen', 'need', 'demystify', 'technology', 'explain', 'strong', 'safeguard', 'already', 'exist', 'balanced', 'approach', 'strong', 'safeguard', 'govern', 'use', 'technology', 'anchor', 'national', 'law', 'guard', 'datum', 'protection', 'authority', 'subject', 'redress', 'mechanism', 'parliamentary', 'oversight', 'oversight', 'european', 'level', 'example', 'european', 'data', 'protection', 'supervisor', 'joint', 'parliamentary', 'scrutiny', 'group', 'human', 'right', 'build', 'body', 'case', 'law', 'relevant', 'use', 'technology', 'procedural', 'right', 'already', 'guarantee', 'right', 'effective', 'remedy', 'fair', 'trial', 'right', 'defence', 'presumption', 'innocence', 'agree', 'application', 'fulfil', 'robust', 'legal', 'technical', 'requirement', 'particular', 'use', 'public', 'authority', 'legal', 'accountability', 'eventual', 'harmful', 'effect', 'system', 'clearly', 'assign', 'issue', 'address', 'propose', 'regulation', 'need', 'european', 'approach', 'ensure', 'safety', 'full', 'respect', 'fundamental_right', 'use', 'proposal', 'recognise', 'strategic', 'tool', 'terrorism', 'organise', 'crime', 'regulation', 'facilitate', 'use', 'transparent', 'reliable', 'secure', 'way', 'authority', 'provide', 'clear', 'rule', 'completely', 'agree', 'room', 'mass_surveillance', 'society', 'proposal', 'ban', 'mass', 'social', 'scoring', 'prohibit', 'live', 'biometric', 'identification', 'public_space', 'well', 'define', 'exception', 'police', 'able', 'use', 'digital', 'technology', 'high_risk', 'case', 'potential', 'adverse', 'impact', 'fundamental_right', 'live', 'high', 'standard', 'robust', 'secure', 'accurate', 'quality', 'datum', 'exceptional', 'use', 'lead', 'discriminatory', 'racist', 'outcome', 'subject', 'human', 'oversight', 'affect', 'people', 'people', 'final', 'say', 'let', 'end', 'say', 'protect', 'security', 'fundamental_right', 'convince', 'citizen', 'want', 'hope', 'ready', 'work', 'together', 'uphold', 'value', 'keep', 'citizen', 'safe']",75,6,0.4074,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.061771025168815226), (1, 0.09614794352363414), (2, 0.1602977286678944), (3, 0.05624616329036219), (4, 0.09860343769183548), (5, 0.08816758747697974), (6, 0.40584714548802947), (7, 0.032918968692449355)]"
76,EU,Jean-Lin Lacapelle,0,France,1.0,Identity and Democracy Group,"['behalf', 'i', 'd', 'group', 'ladie', 'gentleman', 'admirable', 'tool', 'tremendous', 'potential', 'people', 'nation', 'usual', 'spoil', 'bad', 'way', 'turn', 'instrument', 'ideological', 'struggle', 'thus', 'police', 'judicial', 'matter', 'information', 'technology', 'allow', 'decisive', 'progress', 'safety', 'fellow', 'citizen', 'particular', 'child', 'limit', 'use', 'claim', 'reproduce', 'even', 'amplify', 'discrimination', 'force', 'forbid', 'certain', 'conclusion', 'blind', 'fight', 'delinquency', 'refuse', 'intelligent', 'system', 'detect', 'lie', 'border', 'call', 'unaccompanied', 'minor', 'fact', 'adult', 'asylum', 'application', 'reject', 'unfounded', 'claim', 'case', 'concern', 'proof', 'allege', 'racism', 'police', 'demand', 'national', 'plan', 'fight', 'police', 'rather', 'thug', 'expect', 'talk', 'criminal', 'efficiency', 'safety', 'fellow', 'citizen', 'laxity', 'offender', 'ideological', 'lesson', 'honest', 'citizen', 'seriously', 'control', 'border', 'fight', 'crime', 'member_state', 'take', 'destiny', 'hand', 'decide', 'election', 'referendum', 'vital', 'question', 'security', 'sovereignty', 'exactly', 'marine', 'offer']",76,6,0.4248,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.05270167427701675), (1, 0.07401065449010656), (2, 0.08162100456621006), (3, 0.06792237442922376), (4, 0.11358447488584476), (5, 0.07933789954337901), (6, 0.42789193302891937), (7, 0.10292998477929986)]"
77,EU,Eugen Jurzyca,0,Slovakia,1.0,European Conservatives and Reformists Group,"['group', 'understand', 'concern', 'leave', 'algorithm', 'control', 'decision', 'seriously', 'affect', 'human', 'life', 'example', 'algorithm', 'make', 'mistake', 'however', 'agree', 'simply', 'ban', 'use', 'basis', 'concern', 'legal', 'impact', 'individual', 'propose', 'analyze', 'compare', 'functionality', 'efficiency', 'human', 'algorithmic', 'fairly', 'make', 'well', 'decision', 'time', 'already', 'example', 'successful', 'use', 'criminal', 'matter', 'lead', 'efficient', 'fair', 'system', 'example', 'reform', 'detention', 'state']",77,6,0.2177,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.08846618357487925), (1, 0.11986714975845413), (2, 0.08121980676328504), (3, 0.07155797101449277), (4, 0.16213768115942032), (5, 0.09450483091787441), (6, 0.22856280193236717), (7, 0.15368357487922707)]"
78,EU,Cornelia Ernst,1,Germany,1.0,Left group in the European Parliament,"['ernst', 'behalf', 'leave', 'faction', 'mister', 'want', 'clear', 'group', 'biometric', 'face', 'recognition', 'public_space', 'unacceptable', 'principle', 'facial_recognition', 'use', 'limited', 'extent', 'strictly', 'regulate', 'case', 'protection', 'fundamental_right', 'measure', 'constitutional', 'state', 'want', 'comparison', 'biometric', 'facial', 'feature', 'gradually', 'become', 'standard', 'procedure', 'police', 'work', 'technically', 'feasible', 'simplification', 'police', 'work', 'justify', 'automatic', 'use', 'fundamentally', 'invasive', 'technology', 'voting', 'amendment', 'epp', 'group', 'strong', 'table', 'clearly', 'state', 'potential', 'discrimination', 'algorithm', 'promote', 'social', 'racist', 'think', 'pattern', 'amendment', 'table', 'epp', 'group', 'thwart', 'case', 'biometric', 'facial_recognition', 'risk', 'citizen', 'automatically', 'become', 'object', 'suspicion', 'relevant', 'ample', 'evidence', 'mistake', 'get', 'innocent', 'people', 'trouble', 'biometric', 'facial_recognition', 'accept', 'standard', 'mass_surveillance', 'serious', 'invasion', 'privacy', 'exactly', 'form', 'surveillance', 'cause', 'prohibit']",78,6,0.4114,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.0731954582319546), (1, 0.1348337388483374), (2, 0.05535279805352799), (3, 0.05048661800486619), (4, 0.0950932684509327), (5, 0.0780616382806164), (6, 0.40571776155717765), (7, 0.1072587185725872)]"
79,EU,Jeroen Lenaers,0,Netherlands,1.0,European People's Party,"['colleague', 'new', 'technology', 'often', 'bring', 'enormous', 'opportunity', 'benefit', 'time', 'often', 'provide', 'new', 'avenue', 'organise', 'crime', 'true', 'internet', 'certainly', 'true', 'machine', 'learning', 'time', 'technology', 'help', 'huge', 'potential', 'help', 'police', 'officer', 'effectively', 'fight', 'crime', 'help', 'identify', 'criminal', 'run', 'help', 'forecast', 'criminal', 'activity', 'help', 'find', 'counterfeit', 'good', 'currency', 'need', 'look', 'potential', 'open', 'mind', 'avoid', 'situation', 'criminal', 'profit', 'use', 'fight', 'risk', 'involve', 'good', 'safeguard', 'absolutely', 'need', 'place', 'need', 'transparent', 'trustworthy', 'need', 'make_sure', 'use', 'field', 'never', 'compromise', 'value', 'let', 'naive', 'let', 'make', 'mistake', 'focus', 'risk', 'ignore', 'completely', 'potential', 'several', 'colleague', 'say', 'already', 'stay', 'use', 'grow', 'come', 'year', 'look', 'country', 'see', 'need', 'balanced', 'approach', 'need', 'european', 'approach', 'innovation', 'european', 'dna', 'ability', 'create', 'trustworthy', 'human', 'centre', 'value', 'base', 'way', 'let', 'european', 'trademark', 'world', 'application']",79,6,0.2589,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.0814676616915423), (1, 0.11297678275290217), (2, 0.14531509121061362), (3, 0.11712271973466004), (4, 0.13038971807628527), (5, 0.04664179104477613), (6, 0.25642620232172475), (7, 0.10966003316749587)]"
80,EU,Sabrina Pignedoli,1,Italy,1.0,Non-attached Members,"['lady', 'gentleman', 'use', 'law_enforcement', 'question', 'facial_recognition', 'delicate', 'issue', 'balance', 'find', 'hacker', 'criminal', 'group', 'easily', 'enter', 'computer', 'system', 'public', 'institution', 'private', 'company', 'example', 'hit', 'health', 'put', 'function', 'risk', 'become', 'fundamental', 'tool', 'hand', 'fight', 'cybercrime', 'effectively', 'repression', 'criminal', 'phenomena', 'much', 'need', 'invest', 'prevention', 'strengthen', 'defense', 'personal_data', 'otherwise', 'end', 'data', 'black', 'market', 'create', 'effective', 'barrier', 'hacker', 'use', 'kind', 'infiltrator', 'thank', 'block', 'possible', 'attack', 'occur', 'prevention', 'much', 'effective', 'cure']",80,6,0.2161,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.06798941798941797), (1, 0.07328042328042327), (2, 0.1928571428571428), (3, 0.08915343915343914), (4, 0.12936507936507935), (5, 0.09867724867724866), (6, 0.22037037037037033), (7, 0.12830687830687829)]"
81,EU,Miroslav Radačovský,0,Slovakia,1.0,Non-attached Members,"['miroslav', 'radacovsky', 'vitanov', 'use', 'criminal', 'proceeding', 'good', 'balanced', 'professionally', 'draft', 'therefore', 'opinion', 'rather', 'good', 'point', 'positive', 'criminal', 'proceeding', 'point', 'negative', 'opinion', 'long', 'stand', 'judge', 'believe', 'care', 'take', 'use', 'time', 'court', 'decision', 'however', 'exceed', 'human', 'element', 'decision', 'guilt', 'punishment', 'always', 'individual', 'algorithm', 'apply', 'situation', 'room', 'decide', 'time', 'time', 'decide', 'case', 'instead', 'instead', 'mep', 'base', 'algorithm', 'know', 'decide', 'potential', 'misuse', 'protection', 'human', 'right', 'freedom', 'avoid', 'principle', 'principle', 'beneficial', 'fight', 'crime', 'encourage', 'develop']",81,6,0.2287,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.10416666666666667), (1, 0.12371399176954732), (2, 0.07021604938271606), (3, 0.06610082304526749), (4, 0.14737654320987653), (5, 0.10210905349794239), (6, 0.22968106995884774), (7, 0.1566358024691358)]"
82,EU,Fabienne Keller,1,France,1.0,Renew Europe Group,"['gentleman', 'police', 'judicial', 'field', 'immune', 'technological', 'development', 'new', 'powerful', 'technology', 'use', 'tool', 'prove', 'real', 'asset', 'context', 'certain', 'criminal', 'investigation', 'fight', 'terrorism', 'border', 'control', 'thus', 'terrify', 'case', 'attack', 'partly', 'thank', 'technique', 'facial_recognition', 'investigator', 'able', 'identify', 'locate', 'arrest', 'suspect', 'terrorist', 'however', 'use', 'course', 'do', 'strict', 'control', 'indeed', 'use', 'limit', 'proportionate', 'always', 'accompany', 'human', 'supervision', 'real', 'work', 'transparency', 'regard', 'technology', 'use', 'well', 'democratic', 'judicial', 'control', 'use', 'make', 'possible', 'avoid', 'bias', 'ensure', 'respect', 'fundamental_right', 'colleague', 'use', 'criminal', 'case', 'asset', 'criminal', 'investigation', 'european', 'justice', 'let', 'deprive', 'respect', 'fundamental', 'freedom']",82,6,0.2949,"human, fundamental_right, system, people, hand, fight, european, citizen, legal, colleague","[(0, 0.0891304347826087), (1, 0.06980676328502415), (2, 0.12584541062801932), (3, 0.06207729468599034), (4, 0.07367149758454106), (5, 0.10748792270531402), (6, 0.3007246376811594), (7, 0.17125603864734298)]"
83,EU,Christine Schneider,1,Germany,1.0,European People's Party,"['christine', 'schneider', 'behalf', 'commissioner', 'get', 'girl', 'woman', 'excited', 'stem', 'course', 'job', 'almost', 'area', 'life', 'permeate', 'technology', 'let', 'take', 'look', 'development', 'last', 'month', 'enable', 'work', 'parliament', 'even', 'pandemic', 'research', 'natural', 'science', 'development', 'vaccine', 'give', 'key', 'fighting', 'virus', 'pandemic', 'connect', 'car', 'connect', 'patient', 'smart', 'home', 'achievement', 'mint', 'profession', 'need', 'specialist', 'mint', 'area', 'grow', 'digital', 'sector', 'constantly', 'increase', 'company', 'desperately', 'look', 'qualified', 'employee', 'train', 'mint', 'profession', 'skilled', 'worker', 'tomorrow', 'many', 'door', 'open', 'excellent', 'career', 'prospect', 'girl', 'woman', 'jump', 'train', 'ensure', 'framework', 'condition', 'enable', 'develop', 'talent', 'accordingly', 'early', 'gift', 'support', 'young', 'woman', 'stem', 'field', 'expand', 'girl', 'go', 'internship', 'project', 'school', 'already', 'kindergarten', 'introduce', 'mint', 'ensure', 'woman', 'successfully', 'combine', 'work', 'family', 'life', 'mean', 'father', 'man', 'involve', 'area', 'train', 'carpenter', 'know', 'exactly', 'prove', 'male', 'domain', 'role', 'model', 'mentor', 'need', 'encourage', 'young', 'woman', 'girl', 'pursue', 'path', 'mint', 'field', 'end', 'outdated', 'understand', 'gender', 'role', 'therefore', 'hope', 'member_state', 'take', 'address', 'suggestion', 'demand', 'soli', 'support']",83,0,0.4046,"woman, technology, education, field, sector, high, man, culture, future, framework","[(0, 0.4204761904761904), (1, 0.09920634920634917), (2, 0.11063492063492061), (3, 0.14999999999999997), (4, 0.049047619047619034), (5, 0.06238095238095237), (6, 0.0484126984126984), (7, 0.05984126984126983)]"
84,EU,Diana Riba i Giner,1,Spain,1.0,The Greens/European Free Alliance,"['giner', 'behalf', 'ale', 'group', 'year', 'physics', 'chemistry', 'medicine', 'woman', 'award', 'accord', 'researcher', 'world', 'woman', 'reality', 'woman', 'continue', 'undervalue', 'sector', 'science', 'technology', 'good', 'opportunity', 'focus', 'structural', 'barrier', 'hinder', 'development', 'potential', 'talent', 'gender', 'stereotype', 'hostile', 'work', 'educational', 'environment', 'high', 'level', 'sexual', 'harassment', 'report', 'prevent', 'girl', 'woman', 'enter', 'field', 'remain', 'overwhelmingly', 'male', 'add', 'intersectoral', 'discrimination', 'suffer', 'woman', 'situation', 'socioeconomic', 'disadvantage', 'disability', 'live', 'rural', 'area', 'migrant', 'woman', 'lgtbi', 'group', 'racialize', 'woman', 'encourage', 'member_state', 'educational', 'institution', 'take', 'preventive', 'concrete', 'measure', 'absence', 'girl', 'woman', 'condition', 'development', 'individual', 'potentiality', 'society', 'whole', 'way', 'example', 'tackle', 'climate', 'change', 'improve', 'health', 'care', 'deal', 'digital', 'transformation', 'voice', 'woman', 'woman', 'science', 'sustainable', 'inclusive', 'future']",84,0,0.3605,"woman, technology, education, field, sector, high, man, culture, future, framework","[(0, 0.3643018018018019), (1, 0.06925675675675677), (2, 0.12556306306306309), (3, 0.12481231231231234), (4, 0.08727477477477479), (5, 0.04598348348348349), (6, 0.08577327327327329), (7, 0.09703453453453456)]"
85,EU,Christine Anderson,1,Germany,1.0,Identity and Democracy Group,"['group', 'mister', 'encourage', 'girl', 'woman', 'decide', 'career', 'mint', 'profession', 'right', 'thing', 'course', 'helpful', 'look', 'female', 'role', 'model', 'contain', 'correct', 'approach', 'problematic', 'one', 'prejudice', 'gender', 'gap', 'woman', 'stereotype', 'repeatedly', 'mention', 'obstacle', 'need', 'removed', 'emphasize', 'need', 'engage', 'dialogue', 'relevant', 'interest', 'group', 'stakeholder', 'address', 'grievance', 'few', 'woman', 'stem', 'profession', 'interestingly', 'list', 'actor', 'stakeholder', 'address', 'woman', 'reason', 'base', 'solely', 'external', 'factor', 'woman', 'absolutely', 'control', 'politician', 'take', 'resolute', 'action', 'thereby', 'underscore', 'fatal', 'image', 'woman', 'convey', 'weak', 'helpless', 'victim', 'page', 'woman', 'attest', 'helpless', 'situation', 'fight', 'stereotype', 'celebrate', 'manifest', 'fact', 'woman', 'even', 'ask', 'show', 'clearly', 'chief', 'ideologue', 'really', 'concerned', 'construction', 'beautiful', 'new', 'colorful', 'co', 'neutral', 'gender', 'fair', 'tralala', 'world', 'people', 'nuisance', 'stop', 'try', 'shape', 'people', 'accord', 'delusional', 'ideological', 'idea', 'let', 'human']",85,0,0.2582,"woman, technology, education, field, sector, high, man, culture, future, framework","[(0, 0.2536149162861492), (1, 0.1036910197869102), (2, 0.1310882800608828), (3, 0.06183409436834094), (4, 0.0976027397260274), (5, 0.06335616438356165), (6, 0.12880517503805175), (7, 0.1600076103500761)]"
86,EU,Vincenzo Sofo,0,Italy,1.0,European Conservatives and Reformists Group,"['vincenzo', 'sofo', 'behalf', 'ecr', 'group', 'lady', 'gentleman', 'call', 'basic', 'imposition', 'pink', 'quota', 'especially', 'roma', 'migrant', 'university', 'company', 'decision_make', 'body', 'avoid', 'talk', 'obvious', 'exploitation', 'serious', 'issue', 'involvement', 'woman', 'stem', 'profession', 'lobby', 'thing', 'however', 'clarify', 'say', 'need', 'pink', 'quota', 'favor', 'woman', 'man', 'admit', 'woman', 'man', 'time', 'affirm', 'man', 'woman', 'choice', 'apply', 'theory', 'tell', 'tomorrow', 'feel', 'woman', 'automatically', 'get', 'right', 'enter', 'pink', 'quota', 'right', 'lose', 'go', 'back', 'feel', 'man', 'get', 'feel', 'woman', 'mention', 'transgender', 'gender', 'pangender', 'invent', 'identity', 'propose', 'fee', 'way', 'warn', 'turn', 'create', 'quota', 'job', 'end', 'grotesque', 'slip', 'woman', 'lose']",86,0,0.3415,"woman, technology, education, field, sector, high, man, culture, future, framework","[(0, 0.33884479717813054), (1, 0.1201499118165785), (2, 0.08664021164021166), (3, 0.08311287477954146), (4, 0.16776895943562614), (5, 0.06900352733686069), (6, 0.07517636684303353), (7, 0.05930335097001764)]"
87,EU,Sylvie Brunet,1,France,1.0,Renew Europe Group,"['sylvie', 'brunet', 'commissioner_ladie', 'gentleman', 'first', 'excellent', 'subject', 'gender_equality', 'training', 'employment', 'field', 'science', 'technology', 'engineering', 'essential', 'union', 'face', 'unprecedented', 'shortage', 'domain', 'information', 'communication', 'technology', 'specialist', 'woman', 'reverse', 'trend', 'call', 'european', 'member_state', 'adopt', 'accompany', 'measure', 'target', 'action', 'break', 'barrier', 'stand', 'way', 'girl', 'woman', 'early', 'age', 'outline', 'avenue', 'undertake', 'example', 'fight', 'gender', 'stereotype', 'need', 'mentor', 'female', 'figure', 'identify', 'emphasize', 'importance', 'digital', 'skill', 'future', 'work', 'study', 'show', 'especially', 'ilo', 'purpose', 'illustrate', 'process', 'develop', 'initiative', 'home', 'encourage', 'young', 'girl', 'disadvantaged', 'background', 'train', 'code', 'digital', 'skill', 'open', 'opportunity', 'career', 'ambassador', 'young', 'girl', 'think', 'multiply', 'initiative', 'help', 'european', 'funding', 'encourage', 'woman', 'wish', 'pursue', 'scientific', 'technical', 'career']",87,0,0.3784,"woman, technology, education, field, sector, high, man, culture, future, framework","[(0, 0.37608353033884956), (1, 0.09318360914105596), (2, 0.09239558707643815), (3, 0.12628053585500396), (4, 0.10106382978723405), (5, 0.07821118991331759), (6, 0.07111899133175731), (7, 0.06166272655634358)]"
